# Time-averaged data for fix energy
# TimeStep v_k v_e v_t v_T
17850 153.275 -6243.36 -6090.09 712.612
17900 153.623 -6249.21 -6095.59 714.229
17950 152.182 -6244.88 -6092.7 707.53
18000 154.742 -6252.1 -6097.36 719.435
18050 151.786 -6245.74 -6093.95 705.69
18100 152.864 -6248.46 -6095.6 710.7
18150 151.554 -6247.95 -6096.4 704.611
18200 152.54 -6248.84 -6096.3 709.197
18250 150.749 -6243.94 -6093.19 700.87
18300 152.117 -6246.75 -6094.63 707.228
18350 151.273 -6241.89 -6090.62 703.304
18400 152.239 -6242.7 -6090.47 707.798
18450 153.936 -6243.09 -6089.15 715.688
18500 152.471 -6243.33 -6090.86 708.873
18550 151.998 -6244.1 -6092.1 706.675
18600 154.421 -6246.17 -6091.75 717.943
18650 155.176 -6248.47 -6093.3 721.449
18700 154.189 -6247.26 -6093.07 716.862
18750 153.177 -6248.6 -6095.42 712.157
18800 154.539 -6249.52 -6094.98 718.487
18850 154.176 -6246.24 -6092.06 716.799
18900 153.015 -6247.85 -6094.84 711.404
18950 152.121 -6244.75 -6092.63 707.249
19000 151.234 -6242.16 -6090.93 703.122
19050 151.543 -6241.91 -6090.37 704.56
19100 152.845 -6242.62 -6089.77 710.614
19150 150.915 -6241.92 -6091.01 701.64
19200 153.4 -6244.23 -6090.83 713.195
19250 154.369 -6246.34 -6091.97 717.698
19300 153.763 -6243.38 -6089.61 714.879
19350 155.391 -6246.78 -6091.39 722.45
19400 155.166 -6245.63 -6090.46 721.404
19450 155.535 -6248.74 -6093.2 723.118
19500 154.63 -6244.34 -6089.71 718.914
19550 155.265 -6244.9 -6089.64 721.863
19600 155.171 -6244.6 -6089.43 721.429
19650 152.811 -6243.06 -6090.25 710.453
19700 151.573 -6241.63 -6090.05 704.701
19750 151.907 -6243.37 -6091.46 706.254
19800 152.641 -6242.24 -6089.6 709.665
19850 151.028 -6244.28 -6093.26 702.165
19900 153.72 -6245.32 -6091.6 714.68
19950 151.767 -6245.75 -6093.98 705.602
20000 153.214 -6247.79 -6094.58 712.33
20050 152.123 -6245.49 -6093.37 707.258
20100 154.189 -6249.28 -6095.09 716.863
20150 155.539 -6250.37 -6094.83 723.139
20200 151.081 -6246.29 -6095.21 702.411
20250 152.132 -6248.76 -6096.63 707.296
20300 151.36 -6246.76 -6095.4 703.711
20350 150.622 -6247.9 -6097.28 700.277
20400 151.104 -6243.68 -6092.58 702.518
20450 151.579 -6242.82 -6091.24 704.729
20500 151.803 -6242.39 -6090.58 705.769
20550 154.181 -6241.79 -6087.61 716.825
20600 156.057 -6241.75 -6085.7 725.545
20650 156.212 -6245.27 -6089.06 726.269
20700 157.382 -6244.78 -6087.4 731.706
20750 155.422 -6243.86 -6088.44 722.593
20800 155.099 -6245.67 -6090.57 721.092
20850 155.752 -6245.01 -6089.26 724.129
20900 153.527 -6244.34 -6090.81 713.785
20950 154.45 -6243.11 -6088.66 718.074
21000 153.843 -6243.03 -6089.19 715.252
21050 153.957 -6240.22 -6086.26 715.781
21100 155.349 -6240.15 -6084.8 722.253
21150 152.982 -6241.59 -6088.61 711.251
21200 153.244 -6239.92 -6086.68 712.468
21250 153.168 -6243.65 -6090.48 712.116
21300 154.524 -6245.5 -6090.98 718.418
21350 155.99 -6247.76 -6091.77 725.233
21400 154.522 -6244.73 -6090.21 718.412
21450 154.595 -6246.96 -6092.36 718.749
21500 153.386 -6248.27 -6094.88 713.128
21550 154.351 -6247.04 -6092.69 717.616
21600 154.25 -6246.83 -6092.58 717.146
21650 152.459 -6246.12 -6093.66 708.821
21700 151.322 -6243.91 -6092.59 703.533
21750 152.98 -6243.65 -6090.67 711.239
21800 150.401 -6244.51 -6094.1 699.249
21850 150.521 -6242.61 -6092.08 699.809
21900 151.149 -6246.58 -6095.43 702.728
21950 149.994 -6249.04 -6099.04 697.356
22000 150.731 -6250.72 -6099.99 700.783
22050 150.144 -6251.28 -6101.14 698.055
22100 151.311 -6251.35 -6100.04 703.48
22150 149.567 -6251.77 -6102.2 695.373
22200 151.291 -6252.93 -6101.63 703.39
22250 149.916 -6250.73 -6100.82 696.995
22300 149.935 -6251.78 -6101.85 697.085
22350 150.154 -6251.98 -6101.82 698.102
22400 146.303 -6244.09 -6097.79 680.2
22450 151.093 -6247.72 -6096.63 702.467
22500 150.336 -6247.04 -6096.7 698.947
22550 149.643 -6247.65 -6098.01 695.726
22600 148.515 -6245.83 -6097.32 690.482
22650 149.952 -6249.26 -6099.31 697.165
22700 152.76 -6249.3 -6096.54 710.219
22750 151.422 -6249.19 -6097.77 703.995
22800 152.556 -6250.67 -6098.12 709.269
22850 151.606 -6249.72 -6098.11 704.853
22900 152.083 -6250.59 -6098.51 707.071
22950 151.897 -6248.07 -6096.17 706.205
23000 149.948 -6250.56 -6100.61 697.145
